"codigo";"cod_pri";"primario";"secundario";"descricao"
"9640";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a vida | Infanticídio"
"9641";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Lesões Corporais"
"9642";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Lesões Corporais | Leve"
"9643";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Lesões Corporais | Seguida de Morte"
"9644";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Lesões Corporais | Grave"
"9645";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Lesões Corporais | Gravíssima"
"9646";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Lesões Corporais | Privilegiada"
"9647";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Lesões Corporais | Decorrente de Violência Doméstica"
"9648";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Periclitação da Vida e da Saúde e Rixa"
"9649";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Periclitação da Vida e da Saúde e Rixa | Perigo de contágio de moléstia grave"
"9650";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Periclitação da Vida e da Saúde e Rixa | Perigo para a vida ou saúde de outrem (art. 132)"
"9651";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Periclitação da Vida e da Saúde e Rixa | Abandono de incapaz (art. 133)"
"9652";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Periclitação da Vida e da Saúde e Rixa | Omissão de socorro (art. 135)"
"9653";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Periclitação da Vida e da Saúde e Rixa | Rixa (art. 137)"
"9654";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Periclitação da Vida e da Saúde e Rixa | Perigo de Contágio Venéreo"
"9655";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Honra"
"9656";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Honra | Calúnia"
"9657";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Honra | Difamação"
"9658";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Honra | Injúria"
"9659";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a liberdade pessoal"
"9660";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a liberdade pessoal | Constrangimento ilegal (art. 146)"
"9661";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a liberdade pessoal | Ameaça (art. 147)"
"9662";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a liberdade pessoal | Seqüestro e cárcere privado (art. 148)"
"9663";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a liberdade pessoal | Redução a condição análoga à de escravo (art. 149)"
"9664";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a inviolabilidade de domicílio"
"9665";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a inviolabilidade de domicílio | Violação de domicílio (art. 150)"
"9666";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a inviolabilidade de correspondência"
"9667";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a inviolabilidade de correspondência | Violação de correspondência (art. 151, caput)"
"9668";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a inviolabilidade de correspondência | Sonegação ou destruição de correspondência (art. 151, § 1º, I)"
"9669";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a inviolabilidade de correspondência | Violação de comunicação telegráfica, radioelétrica ou telefônica (art. 151, § 1º, II, III e IV)"
"9670";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a inviolabilidade de correspondência | Violação de Correspondência comercial (art. 152)"
"9671";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a inviolabilidade de segredo"
"9672";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a inviolabilidade de segredo | Divulgação de segredo (art. 153)"
"9673";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a inviolabilidade de segredo | Violação do segredo profissional (art. 154)"
"9674";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o Patrimônio"
"9675";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o Patrimônio | Furto (art. 155)"
"9676";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o Patrimônio | Furto Qualificado (Art. 155, § 4o.)"
"9677";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o Patrimônio | Furto de coisa comum (art. 156)"
"9678";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o Patrimônio | Roubo (art. 157)"
"9679";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o Patrimônio | Extorsão (art. 158)"
"9680";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o Patrimônio | Extorsão mediante seqüestro (art. 159)"
"9681";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o Patrimônio | Extorsão indireta (art. 160)"
"9682";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o Patrimônio | Alteração de limites (art. 161, caput)"
"9683";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o Patrimônio | Usurpação de águas (art. 161, § 1º, I)"
"9684";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o Patrimônio | Esbulho possessório (art. 161, § 1º, II)"
"9685";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o Patrimônio | Dano (art. 163)"
"9686";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o Patrimônio | Introdução ou abandono de animais em propriedade alheia (art. 164)"
"9687";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o Patrimônio | Dano em coisa de valor artístico, arqueológico ou histórico (art. 165)"
"9688";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o Patrimônio | Alteração de local especialmente protegido (art. 166)"
"9689";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o Patrimônio | Apropriação indébita Previdenciária (art. 168-A e Lei 8.212/91)"
"9690";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o Patrimônio | Estelionato"
"9691";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o Patrimônio | Estelionato Majorado (art. 171, § 3º)"
"9692";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o Patrimônio | Outras fraudes"
"9693";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o Patrimônio | Fraude à execução (art. 179)"
"9694";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o Patrimônio | Receptação"
"9695";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o Patrimônio | Apropriação indébita (art. 168, caput)"
"9696";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o Patrimônio | Apropriação de Coisa Havida por Erro, Caso Fortuito ou Força da Natureza (art.169)"
"9697";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o Patrimônio | Furto Privilegiado"
"9698";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o Patrimônio | Furto de Veículo Automotor a ser Transportado para outro Estado ou Exterior"
"9699";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o Patrimônio | Roubo Majorado"
"9700";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o Patrimônio | Latrocínio"
"9701";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o Patrimônio | Extorsão mediante Seqüestro Seguida de Morte"
"9702";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o Patrimônio | Extorsão mediante Sequestro Seguida de Lesão Corporal Grave"
"9703";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o Patrimônio | Supressão ou Alteração de Marca em Animais"
"9704";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o Patrimônio | Dano Qualificado"
"9705";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o Patrimônio | Apropriação de Tesouro"
"9706";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o Patrimônio | Apropriação de Coisa Achada"
"9707";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o Patrimônio | Disposição de coisa alheia como própria"
"9708";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o Patrimônio | Alienação ou Oneração Fraudulenta de Coisa Própria"
"9709";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o Patrimônio | Defraudação de Penhor"
"9710";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o Patrimônio | Fraude na Entrega de Coisa"
"9711";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o Patrimônio | Fraude para Recebimento de Indenização ou Valor de Seguro"
"9712";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o Patrimônio | Fraude no Pagamento por Meio de Cheque"
"9713";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o Patrimônio | Duplicata Simulada"
"9714";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o Patrimônio | Abuso de Incapazes"
"9715";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o Patrimônio | Induzimento à Especulação"
"9716";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o Patrimônio | Fraude no Comércio"
"9717";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o Patrimônio | Fraudes e Abusos na Fundação ou Administração de Sociedade por Ações"
"9718";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o Patrimônio | Emissão Irregular de Conhecimento de Depósito ou &quot;Warrant&quot;"
"9719";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o Patrimônio | Receptação Qualificada"
"9720";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Propriedade Intelectual"
"9721";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Propriedade Intelectual | Violação de direito autoral"
"9722";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Organização do Trabalho"
"9723";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Organização do Trabalho | Atentado contra a liberdade de trabalho (art. 197)"
"9724";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Organização do Trabalho | Atentado contra a liberdade de contrato de trabalho e boicotagem violenta (art. 198)"
"9725";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Organização do Trabalho | Atentado contra a liberdade de associação (art. 199)"
"9726";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Organização do Trabalho | Paralisação de trabalho, seguida de violência ou perturbação da ordem (art. 200)"
"9727";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Organização do Trabalho | Paralisação de trabalho de interesse coletivo (art. 201)"
"9728";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Organização do Trabalho | Invasão de estabelecimento industrial, comercial ou agrícola. Sabotagem (art. 202)"
"9729";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Organização do Trabalho | Frustração de direitos assegurados por lei trabalhista (art. 203)"
"9730";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Organização do Trabalho | Exercício de atividade com infração de decisão administrativa (art. 205)"
"9731";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Organização do Trabalho | Aliciamento para fins de emigração (art. 206)"
"9732";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Organização do Trabalho | Aliciamento de trabalhadores de um local para outro do território nacional (art. 207)"
"9733";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Organização do Trabalho | Frustração de lei sobre a nacionalização do trabalho (art. 204)"
"9734";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o sentimento religioso e contra o respeito aos mortos"
"9735";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o sentimento religioso e contra o respeito aos mortos | Destruição / Subração / Ocultação de Cadáver"
"9736";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o sentimento religioso e contra o respeito aos mortos | Impedimento ou Perturbação de Cerimônia Funerária (Art. 209)"
"9737";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o sentimento religioso e contra o respeito aos mortos | Vilipêndio a Cadáver"
"9738";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o sentimento religioso e contra o respeito aos mortos | Violação a Sepultura (Art. 210)"
"9739";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra o sentimento religioso e contra o respeito aos mortos | Ultraje / Impedimento ou Perturbação de Culto Religioso"
"9740";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a dignidade sexual"
"9741";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a dignidade sexual | Tráfico Internacional de Pessoa para Fim de Exploração Sexual "
"9742";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a dignidade sexual | Estupro "
"9743";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a dignidade sexual | Atentado Violento ao Pudor"
"9744";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a dignidade sexual | Atentado ao Pudor Mediante Fraude"
"9745";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a dignidade sexual | Corrupção de Menores"
"9746";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a dignidade sexual | Ultraje Público ao Pudor (Ato/Escrito Obsceno)"
"9747";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a dignidade sexual | Mediação para Servir a Lascívia de Outrem "
"9748";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a dignidade sexual | Posse Sexual Mediante Fraude"
"9749";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a dignidade sexual | Assédio Sexual"
"9750";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a dignidade sexual | Favorecimento da Prostituição"
"9751";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a dignidade sexual | Casa de Prostituição"
"9752";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a dignidade sexual | Rufianismo"
"9753";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a dignidade sexual | Tráfico Internacional de Pessoas"
"9754";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a dignidade sexual | Tráfico Interno de Pessoas"
"9755";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Família"
"9756";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Família | Crimes Contra a Assistência Familiar"
"9757";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Família | Crimes Contra a Assistência Familiar | Abandono Material"
"9758";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Família | Crimes Contra a Assistência Familiar | Abandono Intelectual"
"9759";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Família | Crimes Contra a Assistência Familiar | Entrega de Filho Menor a Pessoa Inidônea"
"9760";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Família | Crimes contra o Casamento"
"9761";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Família | Crimes contra o Casamento | Bigamia"
"9762";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Família | Crimes contra o Casamento | Conhecimento Prévio de Impedimento"
"9763";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Família | Crimes contra o Casamento | Induzimento a erro essencial e ocultação de impedimento"
"9764";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Família | Crimes contra o Casamento | Simulação de Casamento"
"9765";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Família | Crimes contra o Casamento | Simulação de Autoridade para Celebração de Casamento"
"9766";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Família | Crimes Contra o Estado de Filiação"
"9767";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Família | Crimes Contra o Estado de Filiação | Parto Suposto (Art. 242)"
"9768";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Família | Crimes Contra o Estado de Filiação | Registro de Nascimento Inexistente (Art. 241)"
"9769";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Família | Crimes Contra o Estado de Filiação | Sonegação do Estado de Filiação (Art. 243)"
"9770";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Família | Crime contra o Pátrio-Poder e Tutela"
"9771";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Família | Crime contra o Pátrio-Poder e Tutela | Induzimento a Fuga, Entrega Arbitrária ou Sonegação de Incapazes (Art. 248)"
"9772";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Família | Crime contra o Pátrio-Poder e Tutela | Subtração de Incapazes (Art. 249)"
"9773";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Incolumidade Pública"
"9774";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Incolumidade Pública | Incêndio"
"9775";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Incolumidade Pública | Explosão "
"9776";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Incolumidade Pública | Uso de gás tóxico ou asfixiante "
"9777";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Incolumidade Pública | Inundação / Perigo de Inundação"
"9778";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Incolumidade Pública | Desabamento ou desmoronamento (art. 256)"
"9779";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Incolumidade Pública | Subtração, ocultação ou inutilização de material de salvamento (art. 257)"
"9780";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Incolumidade Pública | Difusão de doença ou praga (art. 259)"
"9781";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Incolumidade Pública | Desastre ferroviário / Perigo de Desastre Ferroviário"
"9782";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Incolumidade Pública | Atentado contra a segurança de transporte público"
"9783";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Incolumidade Pública | Arremesso de projétil"
"9784";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Incolumidade Pública | Atentado contra a segurança de serviços de utilidade pública (art. 265)"
"9785";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Incolumidade Pública | Interrupção /perturbação de serviços telegráficos/telefônicos (art. 266)"
"9786";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Incolumidade Pública | Epidemia (art. 267)"
"9787";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Incolumidade Pública | Emprego de Processo Proibido/Substância não permitida"
"9788";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Incolumidade Pública | Invólucro ou recipiente com falsa indicação (art. 275)"
"9789";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Incolumidade Pública | Falsificação / Corrupção / Adulteração / Alteração de produto destinado a fins terapêuticos ou medicinais"
"9790";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Incolumidade Pública | Exercício Ilegal da Medicina, Arte Dentária ou Farmacêutica (art. 282)"
"9791";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Incolumidade Pública | Charlatanismo (Art. 283)"
"9792";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Incolumidade Pública | Corrupção ou Poluição de Água Potável (Art. 271)"
"9793";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Incolumidade Pública | Curandeirismo (Art. 284)"
"9794";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Incolumidade Pública | Envenenamento de Água Potável / Substância Alimentícia ou Medicinal (Art. 270)"
"9795";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Incolumidade Pública | Falsificação / Corrupção / Adulteração / Alteração de Substância ou Produtos Alimentícios"
"9796";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Incolumidade Pública | Infração de Medida Sanitária Preventiva (Art. 268)"
"9797";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Incolumidade Pública | Omissão de Notificação de Doença (Art. 269)"
"9798";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Incolumidade Pública | Outras Substâncias Nocivas a Saúde Pública (Art. 278)"
"9799";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Incolumidade Pública | Substância Destinada à Falsificação (Art. 277)"
"9800";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Incolumidade Pública | Fabrico / Fornecimento / Aquisição / Posse ou Transporte de Explosivos ou Gás Tóxico ou Asfixiante"
"9801";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Incolumidade Pública | Venda de Produtos ou Substância nas Condições dos Artigos 274 e 275 "
"9802";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Incolumidade Pública | Medicamento em Desacordo com Receita Médica"
"9803";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Paz Pública"
"9804";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Paz Pública | Quadrilha ou Bando (art. 288)"
"9805";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Paz Pública | Incitação ao Crime"
"9806";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Paz Pública | Apologia de Crime ou Criminoso"
"9807";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Fé Pública"
"9808";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Fé Pública | Moeda Falsa / Assimilados"
"9809";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Fé Pública | Petrechos para falsificação de moeda (art. 291)"
"9810";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Fé Pública | Emissão de título ao portador sem permissão legal (art. 292)"
"9811";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Fé Pública | Falsificação de papéis públicos (art. 293)"
"9812";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Fé Pública | Falsificação do selo ou sinal público (art. 296)"
"9813";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Fé Pública | Falsificação de documento público"
"9814";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Fé Pública | Falsificação de documento particular (art. 298)"
"9815";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Fé Pública | Falsidade ideológica (art. 299)"
"9816";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Fé Pública | Falso reconhecimento de firma ou letra (art. 300)"
"9817";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Fé Pública | Certidão ou atestado ideologicamente falso (art. 301, caput)"
"9818";"9633";"DIREITO DA CRIANÇA E DO ADOLESCENTE";"Ato Infracional";"Contra a Fé Pública | Falsidade material de atestado ou certidão (art. 301, § 1º)"
