"codigo";"primario";"descricao"
"12179";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Requisição de Pagamento | Pequeno Valor | Suspensão"
"12180";"Decisão";"Concessão | Remissão ao adolescente com suspensão do processo | Prestação de Serviços à Comunidade"
"12181";"Decisão";"Concessão | Remissão ao adolescente com suspensão do processo | Reparação do Dano"
"12182";"Decisão";"Concessão | Remissão ao adolescente com suspensão do processo | Liberdade Assistida"
"12183";"Decisão";"Concessão | Remissão ao adolescente com suspensão do processo | Justiça Restaurativa"
"12184";"Julgamento";"Sem Resolução de Mérito | Suspensão Condicional do Processo"
"12185";"Decisão";"Decisão Interlocutória de Mérito"
"12186";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Cancelamento de Distribuição"
"12187";"Julgamento";"Com Resolução do Mérito | Homologação de Decisão de Juiz Leigo"
"12188";"Decisão";"Autorização | Recambiamento de Preso"
"12189";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Entrega de Documento"
"12198";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Deliberado em Sessão"
"12199";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Deliberado em Sessão | Julgado"
"12200";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Deliberado em Sessão | Julgado | Mérito"
"12201";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Deliberado em Sessão | Julgado | Liminar"
"12202";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Deliberado em Sessão | Julgado | Questão de Ordem"
"12203";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Deliberado em Sessão | Adiado"
"12204";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Deliberado em Sessão | Pedido de Vista"
"12205";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Deliberado em Sessão | Retirado"
"12206";"Decisão";"Ratificação"
"12207";"Decisão";"Ratificação | Liminar"
"12208";"Decisão";"Não-Ratificação"
"12209";"Decisão";"Não-Ratificação | Liminar"
"12210";"Decisão";"Ratificação em Parte"
"12211";"Decisão";"Ratificação em Parte | Liminar"
"12212";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Deliberado em Sessão | Julgado | Prorrogação de PAD"
"12213";"Decisão";"Ratificação | Decisão Monocrática"
"12214";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Processo Encaminhado"
"12215";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Processo devolvido à Secretaria"
"12252";"Julgamento";"Com Resolução do Mérito | Sentença confirmada"
"12253";"Julgamento";"Com Resolução do Mérito | Sentença confirmada em parte"
"12254";"Julgamento";"Com Resolução do Mérito | Sentença desconstituída"
"12255";"Decisão";"Determinação | Redistribuição por prevenção"
"12256";"Julgamento";"Sem Resolução de Mérito | Extinção | Continência"
"12257";"Julgamento";"Com Resolução do Mérito | Definição de tese jurídica em incidentes repetitivos"
"12258";"Julgamento";"Com Resolução do Mérito | Emissão de juízo de retratação pelo Órgão Julgador"
"12259";"Decisão";"Suspensão ou Sobrestamento | Prescrição intercorrente (art. 921, § 4º, CPC)"
"12260";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Autos restaurados"
"12261";"Decisão";"Recebimento | Emenda a inicial"
"12262";"Decisão";"Recebimento | Emenda a inicial"
"12263";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Intimação"
"12264";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Intimação | Eletrônica"
"12265";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Intimação | Eletrônica | Expedida/certificada"
"12266";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Intimação | Eletrônica | Confirmada"
"12267";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Intimação | Em audiência"
"12268";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Intimação | Em Secretaria"
"12269";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Desentranhamento"
"12270";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Desentranhamento | Documento"
"12271";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Desentranhamento | Petição"
"12272";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Deliberado em Sessão | Declinada a competência"
"12273";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Deliberado em Sessão | Convertido em diligência"
"12274";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Deliberado em Sessão | Sobrestado"
"12275";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Deliberado em Sessão | Retificado"
"12276";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Cumprimento da pena"
"12277";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Cumprimento da pena | Início"
"12278";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Cumprimento da pena | Fim"
"12279";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Cumprimento da pena | Fim"
"12280";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Cumprimento da pena | Interrupção"
"12281";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Comunicação eletrônica"
"12282";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Comunicação eletrônica | Expedida/Certificada"
"12283";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Comunicação eletrônica | Confirmada"
"12284";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Citação"
"12285";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Citação | Em Secretaria/Comparecimento Espontâneo"
"12286";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Citação | Eletrônica"
"12287";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Citação | Eletrônica | Expedida/Certificada"
"12288";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Citação | Eletrônica | Confirmada"
"12289";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Cancelamento"
"12290";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Cancelamento | Documento Expedido"
"12291";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Cancelamento | Movimentação processual"
"12292";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Ato cumprido pela parte ou interessado"
"12293";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Ato cumprido pela parte ou interessado | Ato cumprido pela parte ou interessado (sem atributo)"
"12294";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Ato cumprido pela parte ou interessado | Comparecimento do Réu/Apenado"
"12295";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Ato cumprido pela parte ou interessado | Depósito de Bens/Dinheiro"
"12296";"Distribuidor";"Registro"
"12297";"Distribuidor";"Atribuição de competência"
"12298";"Julgamento";"Sem Resolução de Mérito | Extinção | Cancelamento de Dívida Ativa"
"12299";"Decisão";"Prorrogação de cumprimento de pena/medida de segurança"
"12300";"Decisão";"Nomeação"
"12301";"Decisão";"Nomeação | Advogado Voluntário"
"12302";"Decisão";"Nomeação | Curador"
"12303";"Decisão";"Nomeação | Defensor Dativo"
"12304";"Decisão";"Nomeação | Intérprete/Tradutor"
"12305";"Decisão";"Nomeação | Outros auxiliares de justiça"
"12306";"Decisão";"Nomeação | Perito"
"12307";"Decisão";"Decretação de revelia"
"12308";"Decisão";"Concessão | Substituição/Sucessão"
"12309";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Pauta | Retirada"
"12310";"Despacho";"Pauta"
"12311";"Despacho";"Pauta | Pedido de inclusão"
"12312";"Despacho";"Pauta | Retirar pedido de inclusão"
"12313";"Despacho";"Pauta | Pedido de inclusão em pauta virtual"
"12314";"Despacho";"Pauta | Retirar pedido de pauta virtual"
"12315";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Devolvidos os autos"
"12316";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Notificação Inicial"
"12317";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Notificação inicial com liminar"
"12318";"Decisão";"Reconhecimento de prevenção"
"12319";"Julgamento";"Sem Resolução de Mérito | Não conhecimento do pedido"
"12320";"Decisão";"Denegação de prevenção"
"12321";"Julgamento";"Com Resolução do Mérito | Parecer"
"12322";"Julgamento";"Com Resolução do Mérito | Parecer | Favorável"
"12323";"Julgamento";"Com Resolução do Mérito | Parecer | Favorável em parte"
"12324";"Julgamento";"Com Resolução do Mérito | Parecer | Desfavorável"
"12325";"Julgamento";"Sem Resolução de Mérito | Extinção | Perda do objeto"
"12326";"Julgamento";"Com Resolução do Mérito | Consulta"
"12327";"Julgamento";"Com Resolução do Mérito | Consulta | Respondida"
"12328";"Julgamento";"Com Resolução do Mérito | Consulta | Respondida em parte"
"12329";"Julgamento";"Com Resolução do Mérito | Pedido conhecido em parte e procedente"
"12330";"Julgamento";"Com Resolução do Mérito | Pedido conhecido em parte e procedente em parte"
"12331";"Julgamento";"Com Resolução do Mérito | Pedido conhecido em parte e improcedente"
"12332";"Decisão";"Prorrogado prazo de conclusão"
"12359";"Decisão";"Liminar Prejudicada"
"12387";"Decisão";"Decisão de Saneamento e Organização"
"12421";"Decisão";"Determinação | Juízo provisório para medidas urgentes"
"12422";"Decisão";"Determinação | Devolução da carta rogatória ao juízo rogante"
"12425";"Decisão";"Unificação de Medidas Socioeducativas"
"12427";"Decisão";"Não-Admissão | Agravo em recurso especial "
"12428";"Decisão";"Admissão | Reclamação"
"12429";"Decisão";"Admissão | Embargos de Divergência"
"12430";"Decisão";"Determinação | Arquivamento"
"12431";"Decisão";"Admissão | Embargos "
"12432";"Decisão";"Afetação"
"12433";"Julgamento";"Com Resolução do Mérito | Conjunto Agravo e Recurso Especial"
"12434";"Julgamento";"Com Resolução do Mérito | Conjunto Agravo e Recurso Especial | Conhecimento para dar provimento ao Recurso Especial "
"12435";"Julgamento";"Com Resolução do Mérito | Conjunto Agravo e Recurso Especial | Conhecimento para negar provimento ao recurso especial"
"12436";"Julgamento";"Com Resolução do Mérito | Conjunto Agravo e Recurso Especial | Conhecimento para não conhecer do Recurso Especial"
"12437";"Julgamento";"Com Resolução do Mérito | Conjunto Agravo e Recurso Especial | Conhecimento para determinar sua autuação como Recurso Especial"
"12438";"Julgamento";"Com Resolução do Mérito | Conjunto Agravo e Recurso Especial | conhecimento para dar parcial provimento ao recurso especial"
"12439";"Julgamento";"Com Resolução do Mérito | Conjunto Agravo e Recurso Especial | conhecimento para conhecer em parte o recurso especial e dar provimento "
"12440";"Julgamento";"Com Resolução do Mérito | Conjunto Agravo e Recurso Especial | conhecimento para conhecer em parte o recurso especial e negar provimento"
"12441";"Julgamento";"Com Resolução do Mérito | Conjunto Agravo e Recurso Especial | Conhecimento para conhecer o recurso especial"
"12442";"Julgamento";"Com Resolução do Mérito | Conjunto Agravo e Recurso Especial | conhecimento para conhecer em parte o recurso especial "
"12443";"Julgamento";"Com Resolução do Mérito | Conjunto Agravo e Recurso Especial | conhecimento em parte para dar provimento ao recurso especial"
"12444";"Decisão";"deferimento"
"12445";"Decisão";"Admissão | Recurso Ordinário"
"12446";"Decisão";"Admissão | Afetação tornada sem efeito"
"12447";"Decisão";"Autorização | pagamento"
"12448";"Decisão";"Determinação | Demonstração de existência de repercussão geral e  manifestação sobre a questão constitucional"
"12449";"Despacho";"Mero expediente | expedição de alvará de levantamento"
"12450";"Julgamento";"Com Resolução do Mérito | impugnação à execução"
"12451";"Julgamento";"Com Resolução do Mérito | impugnação à execução | Procedência"
"12452";"Julgamento";"Com Resolução do Mérito | impugnação à execução | procedência parcial"
"12453";"Julgamento";"Com Resolução do Mérito | impugnação à execução | improcedência"
"12454";"Decisão";"Admissão | Pedido de Uniformização de Interpretação de Lei"
"12455";"Decisão";"Indeferimento"
"12456";"Decisão";"Não-Admissão | Recurso Ordinário"
"12457";"Decisão";"Determinação | Expedição de precatório/rpv"
"12458";"Julgamento";"Sem Resolução de Mérito | Não conhecimento do habeas corpus"
"12459";"Julgamento";"Sem Resolução de Mérito | Prejudicado"
"12467";"Decisão";"Homologação | Desistência de pedido"
"12472";"Decisão";"Determinação | Devolução dos autos à origem "
"12473";"Decisão";"Conversão | agravo em recurso especial "
"12474";"Decisão";"Determinação | Distribuição"
"12475";"Julgamento";"Com Resolução do Mérito | Concessão | Habeas Corpus de ofício"
"12476";"Decisão";"Homologação | Medida protetiva determinada por autoridade policial"
"12477";"Decisão";"Não-Homologação"
"12478";"Decisão";"Não-Homologação | Medida protetiva determinada por autoridade policia"
"12479";"Decisão";"Revogação | Medida protetiva determinada por autoridade policia"
"12522";"Auxiliar da Justiça";"Auxiliar da Justiça"
"12523";"Auxiliar da Justiça";"Conciliador"
"12524";"Auxiliar da Justiça";"Juiz Leigo"
"12525";"Auxiliar da Justiça";"Mediador"
"12526";"Auxiliar da Justiça";"Mediador | Conciliação"
"12527";"Auxiliar da Justiça";"Mediador | Mediação"
"12528";"Auxiliar da Justiça";"Conciliador | Conciliação"
"12529";"Auxiliar da Justiça";"Juiz Leigo | Decisão"
"12530";"Auxiliar da Justiça";"Juiz Leigo | Conciliação"
"12531";"Auxiliar da Justiça";"Conciliador | Conciliação | Frutífera"
"12532";"Auxiliar da Justiça";"Conciliador | Conciliação | Infrutífera"
"12533";"Auxiliar da Justiça";"Juiz Leigo | Conciliação | Frutífera"
"12534";"Auxiliar da Justiça";"Juiz Leigo | Conciliação | Infrutífera"
"12535";"Auxiliar da Justiça";"Mediador | Conciliação | Frutífera"
"12536";"Auxiliar da Justiça";"Mediador | Conciliação | Infrutífera"
"12537";"Auxiliar da Justiça";"Mediador | Mediação | Não-realizada"
"12538";"Auxiliar da Justiça";"Mediador | Mediação | Não-realizada | Infrutífera"
"12539";"Auxiliar da Justiça";"Mediador | Mediação | Infrutífera"
"12540";"Auxiliar da Justiça";"Mediador | Mediação | Frutífera"
"12548";"Despacho";"Expedição de alvará de levantamento"
"12606";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Remessa negociação consumidor.gov.br"
"12607";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Recebimento negociação consumidor.gov.br"
"12608";"Auxiliar da Justiça";"Conciliador | Conciliação | Parcial"
"12609";"Auxiliar da Justiça";"Juiz Leigo | Conciliação | Parcial"
"12610";"Auxiliar da Justiça";"Mediador | Conciliação | Parcial"
"12611";"Auxiliar da Justiça";"Mediador | Mediação | Parcial"
"12614";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Remessa para o CEJUSC"
"12615";"Julgamento";"Com Resolução do Mérito | Composição Civil"
"12616";"Julgamento";"Com Resolução do Mérito | Extinção da Punibilidade | Composição Civil dos Danos"
"12617";"Julgamento";"Sem Resolução de Mérito | Extinção | Renúncia"
"12618";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Remessa CEJUSC"
"12619";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Recebimento do CEJUSC "
"12621";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Recebimento no CEJUSC"
"12622";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Remessa para Câmara de Conciliação/Mediação"
"12623";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Recebimento de Câmara de Conciliação/Mediação"
"12624";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Audiência | Audiência do art. 334 CPC"
"12646";"Decisão";"Determinação | Determinada a Redistribuição"
"12647";"Decisão";"Mantida a Distribuição do Processo"
"12648";"Decisão";"Determinação | Determinação de Diligência"
"12649";"Julgamento";"Com Resolução do Mérito | Homologado o Pedido"
"12650";"Julgamento";"Com Resolução do Mérito | Não Homologado o Pedido"
"12651";"Julgamento";"Com Resolução do Mérito | Contas Não Prestação"
"12652";"Julgamento";"Com Resolução do Mérito | Contas Aprovadas"
"12653";"Julgamento";"Com Resolução do Mérito | Contas Desaprovadas"
"12654";"Julgamento";"Com Resolução do Mérito | Contas Aprovadas com Ressalvas"
"12655";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Identificada Possível Dissidência Partidária"
"12656";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Identificada Possível Dissidência Partidária | Partido Movimentado"
"12657";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Partido Movimentado"
"12658";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Sistema de Candidaturas Fechado"
"12659";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Totalização de Eleições Efetuada"
"12660";"Julgamento";"Com Resolução do Mérito | Deferimento do Pedido de Registro de Candidatura"
"12661";"Julgamento";"Com Resolução do Mérito | Impugnação do Registro de Candidatura"
"12662";"Julgamento";"Com Resolução do Mérito | Cassação do Registro de Candidatura"
"12663";"Julgamento";"Com Resolução do Mérito | Cancelamento do Pedido de Registro de Candidatura"
"12664";"Julgamento";"Com Resolução do Mérito | Movimentar Partido"
"12665";"Julgamento";"Com Resolução do Mérito | Procedência da Impugnação (Registro Deferido)"
"12666";"Julgamento";"Com Resolução do Mérito | Impugnação do Registro de Candidatura | Procedência da Impugnação (Registro Deferido)"
"12667";"Julgamento";"Com Resolução do Mérito | Impugnação do Registro de Candidatura | Procedência da Impugnação (Registro Indeferido)"
"12668";"Julgamento";"Com Resolução do Mérito | Impugnação do Registro de Candidatura | Procedência em Parte da Impugnação (Registro Deferido)"
"12669";"Julgamento";"Com Resolução do Mérito | Impugnação do Registro de Candidatura | Procedência em Parte da Impugnação (Registro Indeferido)"
"12670";"Julgamento";"Com Resolução do Mérito | Impugnação do Registro de Candidatura | Procedência em Parte da Impugnação (Registro Cancelado)"
"12671";"Julgamento";"Com Resolução do Mérito | Impugnação do Registro de Candidatura | Procedência em Parte da Impugnação (Registro Cancelado) | Procedência em Parte da Impugnação (Registro Cassado)"
"12672";"Julgamento";"Com Resolução do Mérito | Impugnação do Registro de Candidatura | Procedência em Parte da Impugnação (Registro Cassado)"
"12673";"Julgamento";"Com Resolução do Mérito | Impugnação do Registro de Candidatura | Não-Procedência da Impugnação (Registro Deferido)"
"12674";"Julgamento";"Com Resolução do Mérito | Impugnação do Registro de Candidatura | Não-Procedência da Impugnação (Registro Indeferido)"
"12675";"Julgamento";"Com Resolução do Mérito | Impugnação do Registro de Candidatura | Não-Procedência da Impugnação (Registro Cancelado)"
"12676";"Julgamento";"Com Resolução do Mérito | Impugnação do Registro de Candidatura | Não-Procedência da Impugnação (Registro Cassado)"
"12677";"Julgamento";"Com Resolução do Mérito | Impugnação do Registro de Candidatura | Procedência da Impugnação (Registro Cancelado)"
"12678";"Julgamento";"Com Resolução do Mérito | Registro de Candidatura"
"12679";"Julgamento";"Com Resolução do Mérito | Registro de Candidatura | Provimento (Registro Deferido)"
"12680";"Julgamento";"Com Resolução do Mérito | Registro de Candidatura | Provimento (Registro Indeferido)"
"12681";"Julgamento";"Com Resolução do Mérito | Registro de Candidatura | Provimento (Registro Cancelado)"
"12682";"Julgamento";"Com Resolução do Mérito | Registro de Candidatura | Provimento (Registro Cassado)"
"12683";"Julgamento";"Com Resolução do Mérito | Registro de Candidatura | Provimento (Registro Sem Julgamento)"
"12684";"Julgamento";"Com Resolução do Mérito | Registro de Candidatura | Provimento em Parte (Registro Deferido)"
"12685";"Julgamento";"Com Resolução do Mérito | Registro de Candidatura | Provimento em Parte (Registro Indeferido)"
"12686";"Julgamento";"Com Resolução do Mérito | Registro de Candidatura | Provimento em Parte (Registro Cancelado)"
"12687";"Julgamento";"Com Resolução do Mérito | Registro de Candidatura | Provimento em Parte (Registro Cassado)"
"12688";"Julgamento";"Com Resolução do Mérito | Registro de Candidatura | Provimento em Parte (Registro Sem Julgamento)"
"12689";"Julgamento";"Com Resolução do Mérito | Registro de Candidatura | Não-Provimento (Registro Deferido)"
"12690";"Julgamento";"Com Resolução do Mérito | Registro de Candidatura | Não-Provimento (Registro Indeferido)"
"12691";"Julgamento";"Com Resolução do Mérito | Registro de Candidatura | Não-Provimento (Registro Cancelado)"
"12692";"Julgamento";"Com Resolução do Mérito | Registro de Candidatura | Não-Provimento (Registro Cassado)"
"12693";"Julgamento";"Com Resolução do Mérito | Registro de Candidatura | Não-Provimento (Registro Sem Julgamento)"
"12694";"Julgamento";"Com Resolução do Mérito | Registro de Candidatura | Acolhimento (Registro Deferido)"
"12695";"Julgamento";"Com Resolução do Mérito | Registro de Candidatura | Acolhimento (Registro Indeferido)"
"12696";"Julgamento";"Com Resolução do Mérito | Registro de Candidatura | Acolhimento (Registro Cancelado)"
"12697";"Julgamento";"Com Resolução do Mérito | Registro de Candidatura | Acolhimento (Registro Cassado)"
"12698";"Julgamento";"Com Resolução do Mérito | Registro de Candidatura | Acolhimento (Registro Sem Julgamento)"
"12699";"Julgamento";"Com Resolução do Mérito | Registro de Candidatura | Não-Acolhimento (Registro Deferido)"
"12700";"Julgamento";"Com Resolução do Mérito | Registro de Candidatura | Não-Acolhimento (Registro Indeferido)"
"12701";"Julgamento";"Com Resolução do Mérito | Registro de Candidatura | Não-Acolhimento (Registro Cancelado)"
"12702";"Julgamento";"Com Resolução do Mérito | Registro de Candidatura | Não-Acolhimento (Registro Cassado)"
"12703";"Julgamento";"Com Resolução do Mérito | Registro de Candidatura | Não-Acolhimento (Registro Sem Julgamento)"
"12704";"Julgamento";"Com Resolução do Mérito | Registro de Candidatura | Anulação de Acórdão (Registro Deferido)"
"12705";"Julgamento";"Com Resolução do Mérito | Registro de Candidatura | Anulação de Acórdão (Registro Indeferido)"
"12706";"Julgamento";"Com Resolução do Mérito | Registro de Candidatura | Anulação de Acórdão (Registro Cancelado)"
"12707";"Julgamento";"Com Resolução do Mérito | Registro de Candidatura | Anulação de Acórdão (Registro Cassado)"
"12708";"Julgamento";"Com Resolução do Mérito | Registro de Candidatura | Anulação de Acórdão (Registro Sem Julgamento)"
"12709";"Julgamento";"Sem Resolução de Mérito | Registro de Candidatura"
"12710";"Julgamento";"Sem Resolução de Mérito | Registro de Candidatura | Anulação de Acórdão (Registro Deferido)"
"12711";"Julgamento";"Sem Resolução de Mérito | Registro de Candidatura | Anulação de Acórdao (Registro Indeferido)"
"12712";"Julgamento";"Sem Resolução de Mérito | Registro de Candidatura | Anulação de Acórdão (Registro Cancelado)"
"12713";"Julgamento";"Sem Resolução de Mérito | Registro de Candidatura | Anulação de Acórdão (Registro Cassado)"
"12714";"Julgamento";"Sem Resolução de Mérito | Registro de Candidatura | Anulação de Acórdão (Registro Sem Julgamento)"
"12715";"Julgamento";"Sem Resolução de Mérito | Registro de Candidatura | Não Conhecimento (Registro Deferido)"
"12716";"Julgamento";"Sem Resolução de Mérito | Registro de Candidatura | Não Conhecimento (Registro Indeferido)"
"12717";"Julgamento";"Sem Resolução de Mérito | Registro de Candidatura | Não Conhecimento (Registro Cancelado)"
"12718";"Julgamento";"Sem Resolução de Mérito | Registro de Candidatura | Não Conhecimento (Registro Cassado)"
"12719";"Julgamento";"Sem Resolução de Mérito | Registro de Candidatura | Não Conhecimento (Registro Sem Julgamento)"
"12720";"Julgamento";"Sem Resolução de Mérito | Registro de Candidatura | Negação de Seguimento (Registro Deferido)"
"12721";"Julgamento";"Sem Resolução de Mérito | Registro de Candidatura | Negação de Seguimento (Registro Indeferido)"
"12722";"Julgamento";"Sem Resolução de Mérito | Registro de Candidatura | Negação de Seguimento (Registro Cancelado)"
"12723";"Julgamento";"Sem Resolução de Mérito | Registro de Candidatura | Negação de Seguimento (Registro Cassado)"
"12724";"Julgamento";"Sem Resolução de Mérito | Registro de Candidatura | Negação de Seguimento (Registro Sem Julgamento)"
"12733";"Decisão";"Homologação | Homologação do Acordo de Não Persecução Penal"
"12734";"Decisão";"Revogação | Revogação do Acordo de Não Persecução Penal"
"12735";"Julgamento";"Com Resolução do Mérito | Extinção da Punibilidade | Extinção de Punibilidade em Razão do Cumprimento de Acordo de Não Persecução Penal"
"12736";"Decisão";"Unificação de Processos de Execução"
"12737";"Decisão";"Revogação | Revogação da Suspensão Condicional do Processo"
"12738";"Julgamento";"Com Resolução do Mérito | Homologação de Transação Penal"
"12739";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Audiência | Admonitória"
"12740";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Audiência | de Conciliação"
"12741";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Audiência | de Acolhimento"
"12742";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Audiência | de Custódia"
"12743";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Audiência | de Interrogatório"
"12744";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Audiência | de Justificação"
"12745";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Audiência | do art. 16 da Lei 11.340"
"12746";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Audiência | em Execução"
"12747";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Audiência | Inicial"
"12748";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Audiência | Inicial | de Instrução"
"12749";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Audiência | de Instrução"
"12750";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Audiência | de Instrução e Julgamento"
"12751";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Audiência | de Julgamento"
"12752";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Audiência | de Mediação"
"12753";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Audiência | Preliminar"
"12759";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Realização de Procedimento Restaurativo"
"12765";"Decisão";"Envio para Juízo de Retratação "
"12766";"Decisão";"Envio para Juízo de Retratação  | Por Divergência de Entendimento com o STF"
"12767";"Decisão";"Envio para Juízo de Retratação  | Por Divergência de Entendimento com Tribunal Superior"
"12768";"Decisão";"Manutenção de Acórdão"
"12769";"Decisão";"Desclassificação de Delito"
"12792";"Julgamento";"Com Resolução do Mérito | Impugnação do Registro de Candidatura | Procedência da Impugnação (Registro Cassado)"
